osm_id,highway,lanes,maxspeed,name,oneway,WKT
31040052,nan,,,,,POINT (-77.0623032 -12.0085351)
31040298,nan,,,,,POINT (-77.0622424 -12.0041588)
31040301,nan,,,,,POINT (-77.0680348 -12.0053126)
31044287,nan,,,,,POINT (-77.076958 -12.0063932)
31044288,nan,,,,,POINT (-77.0758022 -12.0064267)
31044289,nan,,,,,POINT (-77.0748232 -12.0064584)
31044752,nan,,,,,POINT (-77.0822932 -12.0066921)
31044753,nan,,,,,POINT (-77.0823271 -12.0065383)
31044758,nan,,,,,POINT (-77.0844524 -11.9960292)
31044959,nan,,,,,POINT (-77.0844972 -11.9961987)
31045172,traffic_signals,,,,,POINT (-77.0768009 -11.9781302)
31045173,nan,,,,,POINT (-77.0767769 -11.9780235)
31045189,nan,,,,,POINT (-77.0776783 -11.9778197)
31045190,nan,,,,,POINT (-77.0777069 -11.9779298)
31069242,traffic_signals,,,,,POINT (-77.0721677 -11.9838678)
31069245,nan,,,,,POINT (-77.0722423 -11.9784187)
31069246,nan,,,,,POINT (-77.0723311 -11.9752139)
31069250,nan,,,,,POINT (-77.0716767 -11.9686031)
31069252,nan,,,,,POINT (-77.0701328 -11.9671809)
31069255,nan,,,,,POINT (-77.0687102 -11.966659)
31069256,nan,,,,,POINT (-77.0678214 -11.9665298)
31069258,nan,,,,,POINT (-77.0722402 -11.9785419)
31069275,nan,,,,,POINT (-77.0724144 -11.9785599)
31069277,nan,,,,,POINT (-77.0721832 -11.9842337)
31069290,nan,,,,,POINT (-77.0724138 -11.9784461)
31069291,nan,,,,,POINT (-77.0678479 -11.9663782)
31072185,nan,,,,,POINT (-77.0602415 -11.976736)
31079485,nan,,,,,POINT (-77.0756536 -11.9720863)
31079697,nan,,,,,POINT (-77.0845664 -11.9966982)
273349134,motorway_junction,,,,,POINT (-77.0684409 -11.9630065)
273349255,nan,,,,,POINT (-77.0677806 -11.9625256)
273349266,nan,,,,,POINT (-77.0682655 -11.9631369)
273349444,nan,,,,,POINT (-77.0656819 -11.9621894)
273350397,nan,,,,,POINT (-77.0685826 -11.9619571)
273350406,nan,,,,,POINT (-77.0689905 -11.9625778)
273403596,traffic_signals,,,,,POINT (-77.0730516 -11.9593416)
273403602,nan,,,,,POINT (-77.071862 -11.963755)
273403746,nan,,,,,POINT (-77.0717677 -11.9636934)
273405235,nan,,,,,POINT (-77.0706978 -11.963078)
273405242,motorway_junction,,,,,POINT (-77.0688108 -11.9601143)
273422993,nan,,,,,POINT (-77.0759604 -11.9718154)
273423255,nan,,,,,POINT (-77.0756148 -11.9719038)
273423256,nan,,,,,POINT (-77.0726125 -11.9720345)
273423258,nan,,,,,POINT (-77.0724629 -11.9720137)
273423261,nan,,,,,POINT (-77.0693962 -11.9715778)
273423285,nan,,,,,POINT (-77.0760121 -11.9720028)
273423288,nan,,,,,POINT (-77.072609 -11.9722006)
273423424,nan,,,,,POINT (-77.0670468 -11.9713957)
273423474,nan,,,,,POINT (-77.0670717 -11.9712345)
273423689,nan,,,,,POINT (-77.0681834 -11.9665849)
273423698,nan,,,,,POINT (-77.0721103 -11.96441)
273423771,nan,,,,,POINT (-77.0743793 -11.9672208)
273423844,nan,,,,,POINT (-77.0714148 -11.9651523)
273423850,nan,,,,,POINT (-77.0718427 -11.9647083)
273423851,nan,,,,,POINT (-77.0707175 -11.964041)
273423852,nan,,,,,POINT (-77.0705008 -11.9644549)
273423925,nan,,,,,POINT (-77.0695889 -11.9644134)
273423944,nan,,,,,POINT (-77.0682923 -11.9659107)
273423945,nan,,,,,POINT (-77.0689016 -11.9660115)
273423963,nan,,,,,POINT (-77.0693074 -11.9661115)
273424032,nan,,,,,POINT (-77.0702249 -11.9670561)
273424034,nan,,,,,POINT (-77.0724882 -11.9647117)
273424095,nan,,,,,POINT (-77.0717768 -11.9654504)
273424141,nan,,,,,POINT (-77.0705806 -11.9666609)
273424173,nan,,,,,POINT (-77.0693818 -11.9640732)
273424244,nan,,,,,POINT (-77.0694218 -11.9656311)
273424247,nan,,,,,POINT (-77.0709418 -11.9663033)
273424315,nan,,,,,POINT (-77.0725951 -11.9679521)
273424316,nan,,,,,POINT (-77.0733814 -11.9676343)
273424322,nan,,,,,POINT (-77.0716138 -11.9656288)
273424392,nan,,,,,POINT (-77.0721642 -11.9681309)
273424393,nan,,,,,POINT (-77.070984 -11.9669567)
273424394,nan,,,,,POINT (-77.0713283 -11.9665915)
273424715,nan,,,,,POINT (-77.0724288 -11.9685404)
273424716,nan,,,,,POINT (-77.0745576 -11.9676644)
273424746,nan,,,,,POINT (-77.0719589 -11.9687515)
273424850,nan,,,,,POINT (-77.0746233 -11.9696795)
273424852,nan,,,,,POINT (-77.0741507 -11.9678374)
273424866,nan,,,,,POINT (-77.0747103 -11.9681632)
273424891,nan,,,,,POINT (-77.0726617 -11.968977)
273424993,nan,,,,,POINT (-77.0731792 -11.9710333)
273425037,nan,,,,,POINT (-77.0749207 -11.9709454)
273425051,nan,,,,,POINT (-77.075069 -11.971943)
273425085,nan,,,,,POINT (-77.0750154 -11.9714323)
273425106,nan,,,,,POINT (-77.0709856 -11.9712935)
273425108,nan,,,,,POINT (-77.0726505 -11.9715252)
273425131,nan,,,,,POINT (-77.0684683 -11.9681259)
273425208,nan,,,,,POINT (-77.0693912 -11.9684875)
273425213,nan,,,,,POINT (-77.0679499 -11.9680378)
273425294,nan,,,,,POINT (-77.0704666 -11.9694936)
273425551,nan,,,,,POINT (-77.0685489 -11.9676575)
273425557,nan,,,,,POINT (-77.07057 -11.9688418)
273425558,nan,,,,,POINT (-77.071389 -11.9682321)
273425559,nan,,,,,POINT (-77.0701859 -11.9691277)
273425584,nan,,,,,POINT (-77.0686237 -11.9671687)
273425679,nan,,,,,POINT (-77.0708537 -11.9692074)
273425706,nan,,,,,POINT (-77.0712442 -11.9689187)
273425715,nan,,,,,POINT (-77.0698249 -11.9687868)
273425717,nan,,,,,POINT (-77.0685086 -11.9709234)
273425718,nan,,,,,POINT (-77.0694661 -11.9710596)
273425719,nan,,,,,POINT (-77.0688615 -11.9687427)
273425721,nan,,,,,POINT (-77.0689936 -11.9709863)
273425722,nan,,,,,POINT (-77.0683902 -11.9686862)
273425723,nan,,,,,POINT (-77.0680378 -11.9708506)
273425844,nan,,,,,POINT (-77.0738542 -11.9674342)
273425850,nan,,,,,POINT (-77.0719675 -11.9652667)
273425869,nan,,,,,POINT (-77.0759185 -11.9735564)
273425872,nan,,,,,POINT (-77.0750897 -11.9721076)
273425873,nan,,,,,POINT (-77.0750881 -11.9737285)
273425874,nan,,,,,POINT (-77.0751109 -11.9749868)
273425875,nan,,,,,POINT (-77.0751283 -11.9757681)
273425896,nan,,,,,POINT (-77.074639 -11.9758835)
273425899,nan,,,,,POINT (-77.0746194 -11.9721212)
273425900,nan,,,,,POINT (-77.0746068 -11.9743239)
273425907,nan,,,,,POINT (-77.0730775 -11.9738041)
273425908,nan,,,,,POINT (-77.0741302 -11.9737192)
273425909,nan,,,,,POINT (-77.0724896 -11.975211)
273425910,nan,,,,,POINT (-77.0730184 -11.9752273)
273425911,nan,,,,,POINT (-77.0741429 -11.9752344)
273426005,nan,,,,,POINT (-77.0741245 -11.9721399)
273426006,nan,,,,,POINT (-77.0741206 -11.9726706)
